template_id	template_sub_id	template_file_id	form_field	auto_increase	input_field	kanri_flg	input_field_name	input_type	refer_input_type	refer_table_name	refer_table_field	option_string	sort	m_refer_table_name	m_refer_table_field	m_refer_table_id	m_refer_table_column	tooltip_text	besshi_number
A1-2	1	A1-2_1	A0052	0	A0052	-1	実習(５技能実習の内容の"④実習"を変更する場合に使用)	9	0				38					5 技能実習の内容 ④実習 の内容を<br>変更する場合のみ使用	
A1-2	1	A1-2_1	Z194_4	0	A1_2000	-1	通勤手当	10	0	intern	courseallow		72						
A1-2	1	A1-2_1	Z194_0	0	A1_2001	-1	その他手当名①	1	0	intern	otherallowance1		73						
A1-2	1	A1-2_1	Z194_1	0	A1_2002	-1	その他手当名②	1	0	intern	otherallowance2		75						
A1-2	1	A1-2_1	Z194_2	0	A1_2003	-1	その他手当名③	1	0	intern	otherallowance3		77						
A1-2	1	A1-2_1	Z194_3	0	A1_2004	-1	その他手当名④	1	0	intern	otherallowance4		79						
A1-2	1	A1-2_1		0	besshi1	-1	役員	101	0				104				officer_name	実習生の実施者に所属する役員が反映されます。<br>役員の数が７人以上のとき、別紙出力されます。	1
A1-2	1	A1-2_1		0	besshi3	-1	技能実習責任者	101	0				101				name	実習生の実習事業所に所属する技能実習責任者が反映されます。<br>技能実習責任者の数が２人以上のとき、別紙出力されます。	3
A1-2	1	A1-2_1		0	besshi4	-1	技能実習指導員	101	0				102				name	実習生の実習事業所に所属する技能実習指導員が反映されます。<br>技能実習指導員の数が２人以上のとき、別紙出力されます。	4
A1-2	1	A1-2_1		0	besshi5	-1	生活指導員	101	0				103				name	実習生の実習事業所に所属する生活指導員が反映されます。<br>生活指導員の数が２人以上のとき、別紙出力されます。	5
A1-2	1	A1-2_1		0	besshi7	-1	定期的に負担する費用	101	0				105					実習生の水道光熱費、通信費、その他費用１～４が反映されます。<br>６つの費用のうち、２つ以上入力されているとき、別紙出力されます。	7
A1-2	1	A1-2_1		0	besshi8	-1	労働条件	101	0				106					実習生の労働条件が反映されます。<br>基本労働時間が入力されており、かつ「②その他労働時間」の勤務開始時間が入力されているか、「交代勤務制１～５」の勤務開始時間が入力されているとき別紙出力されます。	8
A1-2	1	A1-2_1	period_no	0	period_no	-1	送出機関番号	1	0	sendout_organ	period_no		67						
A1-2	1	A1-2_1	reference_no	0	reference_no	-1	整理番号	1	0	sendout_organ	reference_no		68						
A1-2	1	A1-2_1	S001	0	S001B	-1	作成日	4	0				1					作成日を「yyyy/mm/dd」の書式で入力します。カレンダーの使用が可能です。	
A1-2	1	A1-2_1	Z194_0	0	salary1	-1	その他手当額①	10	0	intern	otherpaiment1		74						
A1-2	1	A1-2_1	Z194_1	0	salary2	-1	その他手当額②	10	0	intern	otherpaiment2		76						
A1-2	1	A1-2_1	Z194_2	0	salary3	-1	その他手当額③	10	0	intern	otherpaiment3		78						
A1-2	1	A1-2_1	Z194_3	0	salary4	-1	その他手当額④	10	0	intern	otherpaiment4		80						
A1-2	1	A1-2_1	Z001	0	Z001	-1	実習実施者<br>届出受理番号	1	0	company	Z001		2						
A1-2	1	A1-2_1	Z005	0	Z005B	-1	実施者名	1	0	company	Z005		4						
A1-2	1	A1-2_1	Z006	0	Z006	-1	実施者名<br>（ふりがな）	1	0	company	Z006		3						
A1-2	1	A1-2_1	Z007	0	Z007B	-1	実施者<br>代表者名	40	40	company_person	name		8						
A1-2	1	A1-2_1	Z008	0	Z008	-1	実施者<br>代表者名<br>（ふりがな）	42	40	company_person	name_phonetic		9						
A1-2	1	A1-2_1	Z010	0	Z010	-1	実施者<br>住所	1	0	company	Z010		6						
A1-2	1	A1-2_1	Z011	0	Z011A	-1	実施者<br>郵便番号	5	0	company	Z011		5						
A1-2	1	A1-2_1	Z012	0	Z012A	-1	実施者<br>電話番号	6	0	company	Z012		7						
A1-2	1	A1-2_1	Z013	0	Z013	-1	法人番号	1	0	company	Z013		10						
A1-2	1	A1-2_1	Z020	0	Z020A	-1	業種<br>大分類コード	27	28	company	Z020		11						
A1-2	1	A1-2_1	Z020_2	0	Z020B	-1	業種<br>大分類名	28	30	company	Z020_1		12						
A1-2	1	A1-2_1	Z021	0	Z021A	-1	業種<br>小分類コード	29	30	company	Z021		13						
A1-2	1	A1-2_1	Z021_2	0	Z021B	-1	業種<br>小分類名	30	28	company	Z021_1		14						
A1-2	1	A1-2_1	Z036	0	Z036A	-1	実習事業所名	101	0	company_office	company_office_name		16	intern_company_office_select	intern_id	company_office_id	company_office_name		2
A1-2	1	A1-2_1	Z037	0	Z037	-1	実習事業所名<br>(ふりがな)	101	0	company_office	company_office_phonetic		15	intern_company_office_select	intern_id	company_office_id	company_office_phonetic		2
A1-2	1	A1-2_1	Z038	0	Z038A	-1	実習事業所<br>住所	101	0	company_office	company_office_address		18	intern_company_office_select	intern_id	company_office_id	company_office_address		2
A1-2	1	A1-2_1	Z039	0	Z039A	-1	実習事業所<br>郵便番号	105	0	company_office	company_office_post		17	intern_company_office_select	intern_id	company_office_id	company_office_post		2
A1-2	1	A1-2_1	Z040	0	Z040A	-1	実習事業所<br>電話番号	106	0	company_office	company_office_tel		19	intern_company_office_select	intern_id	company_office_id	company_office_tel		2
A1-2	1	A1-2_1	Z106	0	Z106B	-1	監理団体名	1	0	kanri_dantai	Z106		51						
A1-2	1	A1-2_1	Z107	0	Z107	-1	監理団体名<br>（ふりがな）	1	0	kanri_dantai	Z107		50						
A1-2	1	A1-2_1	Z108	0	Z108A	-1	監理団体<br>住所	1	0	kanri_dantai	Z108		53						
A1-2	1	A1-2_1	Z109	0	Z109A	-1	監理団体<br>郵便番号	5	0	kanri_dantai	Z109		52						
A1-2	1	A1-2_1	Z110	0	Z110A	-1	監理団体<br>電話番号	6	0	kanri_dantai	Z110		54						
A1-2	1	A1-2_1	Z111	0	Z111A	-1	監理団体<br>代表者氏名	71	71	kanri_dantai_person	Z127		55						
A1-2	1	A1-2_1	Z112	0	Z112	-1	監理団体<br>代表者氏名<br>（ふりがな）	72	71	kanri_dantai_person	Z128		56						
A1-2	1	A1-2_1	Z113	0	Z113	-1	担当事業所名	54	54	kanri_dantai_office	kanri_office_name		60						
A1-2	1	A1-2_1	Z114	0	Z114	-1	担当事業所名<br>（ふりがな）	55	54	kanri_dantai_office	kanri_office_phonetic		59						
A1-2	1	A1-2_1	Z116	0	Z116	-1	担当事業所<br>住所	56	54	kanri_dantai_office	kanri_office_address		62						
A1-2	1	A1-2_1	Z117	0	Z117A	-1	担当事業所<br>郵便番号	58	54	kanri_dantai_office	kanri_office_zip		61						
A1-2	1	A1-2_1	Z118	0	Z118A	-1	担当事業所<br>電話番号	59	54	kanri_dantai_office	kanri_office_tel		63						
A1-2	1	A1-2_1	Z120	0	Z120	-1	監理責任者名	75	75	kanri_dantai_person	Z127		57						
A1-2	1	A1-2_1	Z121	0	Z121	-1	監理責任者名<br>（ふりがな）	76	75	kanri_dantai_person	Z128		58						
A1-2	1	A1-2_1	Z135	0	Z135	-1	監理団体<br>許可番号	1	0	kanri_dantai	Z135		48						
A1-2	1	A1-2_1	Z171	0	Z171	-1	送出し機関名	1	0	intern	sendout_organ_name		66						
A1-2	1	A1-2_1	Z188	0	Z188A	-1	賃金区分	3	0	intern	paymentflg	月給,日給,時給	69						
A1-2	1	A1-2_1	Z188	0	Z188D	-1	賃金（円）	10	0	intern	basesalary		70						
A1-2	1	A1-2_1	Z193	0	Z193	-1	講習手当	10	0	sendout_organ	lecture_bonus_detail		71						
A1-2	1	A1-2_1	Z203A	0	Z203A	-1	雇用期間<br>開始	4	0	intern	employ_s		82					雇用期間：開始を「yyyy/mm/dd」の書式で入力します。カレンダーの使用が可能です。	
A1-2	1	A1-2_1	Z203D	0	Z203D	-1	雇用期間<br>終了	4	0	intern	employ_e		83					雇用期間：終了を「yyyy/mm/dd」の書式で入力します。カレンダーの使用が可能です。	
A1-2	1	A1-2_1	Z208	0	Z208	-1	年間の<br>所定労働時間<br>(時間)	1	0	intern	tem_yeartime_hour_decimal		84						
A1-2	1	A1-2_1	Z209	0	Z209	-1	週間の<br>所定労働時間<br>(時間)	1	0	intern	tem_weektime_hour_decimal		85						
A1-2	1	A1-2_1	Z214	0	Z214	-1	休日	1	0	intern_master	holiday		86						
A1-2	1	A1-2_1	Z216	0	Z216	-1	休暇	1	0	intern_master	supply_detail		87						
A1-2	1	A1-2_1	Z217	0	Z217	-1	宿泊施設名	101	0	hotel	hotel_name		88	intern_hotel	intern_id	hotel_id	name		6
A1-2	1	A1-2_1	Z218	0	Z218	-1	宿泊施設<br>住所	101	0	hotel	address		89	intern_hotel	intern_id	hotel_id	address		6
A1-2	1	A1-2_1	Z224	0	Z224	-1	負担費用<br>(食費)	10	0	intern	syokuhi		90						
A1-2	1	A1-2_1	Z225	0	Z225	-1	負担費用<br>(住居費)	10	0	intern	kyojyuhi		91						
A1-2	1	A1-2_1	Z227	0	Z227	-1	技能実習生名<br>（漢字）	1	0	intern	Z227		21						
A1-2	1	A1-2_1	Z228	0	Z228	-1	技能実習生名<br>（ローマ字）	1	0	intern	Z228		20						
A1-2	1	A1-2_1	Z229	0	Z229	-1	技能実習生<br>国籍	175	0	intern	Z229		22						
A1-2	1	A1-2_1	Z230	0	Z230A	-1	技能実習生<br>生年月日	4	0	intern	Z230		23					技能実習生生年月日を「yyyy/mm/dd」の書式で入力します。カレンダーの使用が可能です。	
A1-2	1	A1-2_1	Z231	0	Z231	-1	技能実習生<br>年齢	1	0	intern	Z231		24					機能[実習生]の項目[年齢]が反映されます。当項目では自動算出されませんが、[実習生]画面で[生年月日]を入力すると算出されます。	
A1-2	1	A1-2_1	Z232	0	Z232A	-1	技能実習生<br>性別	3	0	intern	Z232	男,女	25						
A1-2	1	A1-2_1	Z245	0	Z245A	-1	帰国延べ期間	107	0	intern	nobe_return		26					実習生の帰国延べ期間を「yy/mm」の書式で入力します。月がない場合は「yy/00」、1年未満の場合は「00/mm」と入力して下さい。	
A1-2	1	A1-2_1	Z245_s	0	Z245C	-1	【自】帰国期間	4	0	intern	Z245_s		27					【自】実習生帰国期間を「yyyy/mm/dd」の書式で入力します。カレンダーの使用が可能です。	
A1-2	1	A1-2_1	Z245_e	0	Z245F	-1	【至】帰国期間	4	0	intern	Z245_e		28					【至】技能実習生帰国期間を「yyyy/mm/dd」の書式で入力します。カレンダーの使用が可能です。	
A1-2	1	A1-2_1	Z246	0	Z246A	-1	技能実習生<br>区分	33	0	intern	intern_class_id	未,A,B,C,D,E,F	29						
A1-2	1	A1-2_1	Z247	0	Z247A	-1	移行対象<br>職種コード番号	182	180	intern	code1		30						
A1-2	1	A1-2_1	Z247_2	0	Z247B	-1	移行対象<br>職種コード番号<br>(複数実施)	185	183	intern	code2		33						
A1-2	1	A1-2_1	Z248	0	Z248A	-1	移行対象<br>職種名	181	180	job_category1	job_category		31						
A1-2	1	A1-2_1	Z248_2	0	Z248B	-1	移行対象<br>職種名<br>(複数実施)	184	183	job_category2	job_category		34						
A1-2	1	A1-2_1	Z249	0	Z249A	-1	移行対象<br>作業名	180	180	job_category1	job_work		32						
A1-2	1	A1-2_1	Z249_2	0	Z249B	-1	移行対象<br>作業名<br>(複数実施)	183	183	job_category2	job_work		35						
A1-2	1	A1-2_1	Z348	0	Z348	-1	事業区分	33	0	kanri_dantai	kanri_business_flg	一般監理事業,特定監理事業	49						
A1-2	1	A1-2_1	Z350	0	Z350	-1	計画指導<br>担当者氏名<br>（ふりがな）	85	84	kanri_dantai_person	Z128		65						
A1-2	1	A1-2_1	Z351	0	Z351	-1	計画指導<br>担当者氏名	84	84	kanri_dantai_person	Z127		64						
A1-2	1	A1-2_2	period_no	0	period_no	-1	送出機関番号	1	0	sendout_organ	period_no		65						
A1-2	1	A1-2_2	reference_no	0	reference_no	-1	整理番号	1	0	sendout_organ	reference_no		66						
A1-2	1	A1-2_3	period_no	0	period_no	-1	送出機関番号	1	0	sendout_organ	period_no		65						
A1-2	1	A1-2_3	reference_no	0	reference_no	-1	整理番号	1	0	sendout_organ	reference_no		66						
A1-2	2	A1-2_2	A0003	0	A0003	-1	移行対象<br>職種・作業<br>以外の場合	1	0	intern	other_work_detail		36						
A1-2	2	A1-2_2	A0028_0	0	A0028	-1	技能実習の期間<br>延べ期間 / 年	1	0	intern	tem_intern_span_year		39						
A1-2	2	A1-2_2	A0028_1	0	A0029	-1	技能実習の期間<br>延べ期間 / 月	1	0	intern	tem_intern_span_month		40						
A1-2	2	A1-2_2	A0028_2	0	A0030	-1	技能実習の期間<br>延べ期間 / 日	1	0	intern	tem_intern_span_day		41						
A1-2	2	A1-2_2	A0031	0	A0031	-1	技能実習の<br>開始日	4	0	intern	work_start_date2		42					技能実習の開始日を「yyyy/mm/dd」の書式で入力します。カレンダーの使用が可能です。	
A1-2	2	A1-2_2	A0034	0	A0034	-1	技能実習の<br>終了日	4	0	intern	work_end_date2		43					技能実習の終了日を「yyyy/mm/dd」の書式で入力します。カレンダーの使用が可能です。	
A1-2	2	A1-2_2	A0037	0	A0037	-1	技能実習の<br>合計時間<br>（時間）	1	0	intern	tem_traning_total_time2		44						
A1-2	2	A1-2_2	A0039	0	A0039	-1	実習にかける時間<br>（時間）	1	0	intern	tem_traning_total_time2		45						
A1-2	2	A1-2_2	A0040	0	A0040	-1	前段階の<br>技能実習計画の<br>認定番号	1	0	intern	nintei_1		38						
A1-2	2	A1-2_2	A0041	0	A0041	-1	雇用契約期間の定め	3	0	intern	contract_flg	有,無	79						
A1-2	2	A1-2_2	A0043	0	A0043	-1	【備考欄】<br>実施者<br>会社名	1	0	company	Z005		90						
A1-2	2	A1-2_2	A0044	0	A0044	-1	【備考欄】<br>実施者<br>担当者の役職	93	92	company_person	class		92						
A1-2	2	A1-2_2	A0045	0	A0045	-1	【備考欄】<br>実施者<br>連絡担当者	92	92	company_person	name		91						
A1-2	2	A1-2_2	A0046	0	A0046	-1	【備考欄】<br>実施者<br>連絡先	98	92	company_person	tel		93						
A1-2	2	A1-2_2	A0047	0	A0047	-1	【備考欄】<br>組合<br>組合名	1	0	kanri_dantai	Z106		94						
A1-2	2	A1-2_2	A0048	0	A0048	-1	【備考欄】<br>組合<br>担当者の役職	91	90	kanri_dantai_person	Z129		96						
A1-2	2	A1-2_2	A0049	0	A0049	-1	【備考欄】<br>組合<br>説明担当者	90	90	kanri_dantai_person	Z127		95						
A1-2	2	A1-2_2	A0050	0	A0050	-1	【備考欄】<br>組合<br>連絡先	37	90	kanri_dantai_person	staff_tel		97						
A1-2	2	A1-2_2	A0051	0	A0051	-1	提出の有無	33	0			有,無	98					過去1年以内に技能実習実施困難時届出書の提出の有無を選択してください。	
A1-2	2	A1-2_2	A0052	0	A0052	-1	提出の有無	9	0				37					5 技能実習の内容 ④実習 の内容を<br>変更する場合のみ使用	
A1-2	2	A1-2_2	Z194_4	0	A1_2000	-1	通勤手当	10	0	intern	courseallow		70						
A1-2	2	A1-2_2	Z194_0	0	A1_2001	-1	その他手当名①	1	0	intern	otherallowance1		71						
A1-2	2	A1-2_2	Z194_1	0	A1_2002	-1	その他手当名②	1	0	intern	otherallowance2		73						
A1-2	2	A1-2_2	Z194_2	0	A1_2003	-1	その他手当名③	1	0	intern	otherallowance3		75						
A1-2	2	A1-2_2	Z194_3	0	A1_2004	-1	その他手当名④	1	0	intern	otherallowance4		77						
A1-2	2	A1-2_2		0	besshi1	-1	役員	101	0				102				officer_name	実習生の実施者に所属する役員が反映されます。<br>役員の数が７人以上のとき、別紙出力されます。	1
A1-2	2	A1-2_2		0	besshi3	-1	技能実習責任者	101	0				99				name	実習生の実習事業所に所属する技能実習責任者が反映されます。<br>技能実習責任者の数が２人以上のとき、別紙出力されます。	3
A1-2	2	A1-2_2		0	besshi4	-1	技能実習指導員	101	0				100				name	実習生の実習事業所に所属する技能実習指導員が反映されます。<br>技能実習指導員の数が２人以上のとき、別紙出力されます。	4
A1-2	2	A1-2_2		0	besshi5	-1	生活指導員	101	0				101				name	実習生の実習事業所に所属する生活指導員が反映されます。<br>生活指導員の数が２人以上のとき、別紙出力されます。	5
A1-2	2	A1-2_2		0	besshi7	-1	定期的に負担する費用	101	0				103					実習生の水道光熱費、通信費、その他費用１～４が反映されます。<br>６つの費用のうち、２つ以上入力されているとき、別紙出力されます。	7
A1-2	2	A1-2_2		0	besshi8	-1	労働条件	101	0				104					実習生の労働条件が反映されます。<br>基本労働時間が入力されており、かつ「②その他労働時間」の勤務開始時間が入力されているか、「交代勤務制１～５」の勤務開始時間が入力されているとき別紙出力されます。	8
A1-2	2	A1-2_2	S001	0	S001B	-1	作成日	4	0				1					作成日を「yyyy/mm/dd」の書式で入力します。カレンダーの使用が可能です。	
A1-2	2	A1-2_2	Z194_0	0	salary1	-1	その他手当額①	10	0	intern	otherpaiment1		72						
A1-2	2	A1-2_2	Z194_1	0	salary2	-1	その他手当額②	10	0	intern	otherpaiment2		74						
A1-2	2	A1-2_2	Z194_2	0	salary3	-1	その他手当額③	10	0	intern	otherpaiment3		76						
A1-2	2	A1-2_2	Z194_3	0	salary4	-1	その他手当額④	10	0	intern	otherpaiment4		78						
A1-2	2	A1-2_2	Z001	0	Z001	-1	実習実施者<br>届出受理番号	1	0	company	Z001		2						
A1-2	2	A1-2_2	Z005	0	Z005B	-1	実施者名	1	0	company	Z005		4						
A1-2	2	A1-2_2	Z006	0	Z006	-1	実施者名<br>（ふりがな）	1	0	company	Z006		3						
A1-2	2	A1-2_2	Z007	0	Z007B	-1	実施者<br>代表者名	40	40	company_person	name		8						
A1-2	2	A1-2_2	Z008	0	Z008	-1	実施者<br>代表者名<br>（ふりがな）	42	40	company_person	name_phonetic		9						
A1-2	2	A1-2_2	Z010	0	Z010	-1	実施者<br>住所	1	0	company	Z010		6						
A1-2	2	A1-2_2	Z011	0	Z011A	-1	実施者<br>郵便番号	5	0	company	Z011		5						
A1-2	2	A1-2_2	Z012	0	Z012A	-1	実施者<br>電話番号	6	0	company	Z012		7						
A1-2	2	A1-2_2	Z013	0	Z013	-1	法人番号	1	0	company	Z013		10						
A1-2	2	A1-2_2	Z020	0	Z020A	-1	業種<br>大分類コード	27	28	company	Z020		11						
A1-2	2	A1-2_2	Z020_2	0	Z020B	-1	業種<br>大分類名	28	30	company	Z020_1		12						
A1-2	2	A1-2_2	Z021	0	Z021A	-1	業種<br>小分類コード	29	30	company	Z021		13						
A1-2	2	A1-2_2	Z021_2	0	Z021B	-1	業種<br>小分類名	30	28	company	Z021_1		14						
A1-2	2	A1-2_2	Z036	0	Z036A	-1	実習事業所名	101	0	company_office	company_office_name		16	intern_company_office_select	intern_id	company_office_id	company_office_name		2
A1-2	2	A1-2_2	Z037	0	Z037	-1	実習事業所名<br>(ふりがな)	101	0	company_office	company_office_phonetic		15	intern_company_office_select	intern_id	company_office_id	company_office_phonetic		2
A1-2	2	A1-2_2	Z038	0	Z038A	-1	実習事業所<br>住所	101	0	company_office	company_office_address		18	intern_company_office_select	intern_id	company_office_id	company_office_address		2
A1-2	2	A1-2_2	Z039	0	Z039A	-1	実習事業所<br>郵便番号	105	0	company_office	company_office_post		17	intern_company_office_select	intern_id	company_office_id	company_office_post		2
A1-2	2	A1-2_2	Z040	0	Z040A	-1	実習事業所<br>電話番号	106	0	company_office	company_office_tel		19	intern_company_office_select	intern_id	company_office_id	company_office_tel		2
A1-2	2	A1-2_2	Z106	0	Z106B	-1	監理団体名	1	0	kanri_dantai	Z106		49						
A1-2	2	A1-2_2	Z107	0	Z107	-1	監理団体名<br>（ふりがな）	1	0	kanri_dantai	Z107		48						
A1-2	2	A1-2_2	Z108	0	Z108A	-1	監理団体<br>住所	1	0	kanri_dantai	Z108		51						
A1-2	2	A1-2_2	Z109	0	Z109A	-1	監理団体<br>郵便番号	5	0	kanri_dantai	Z109		50						
A1-2	2	A1-2_2	Z110	0	Z110A	-1	監理団体<br>電話番号	6	0	kanri_dantai	Z110		52						
A1-2	2	A1-2_2	Z111	0	Z111A	-1	監理団体<br>代表者氏名	71	71	kanri_dantai_person	Z127		53						
A1-2	2	A1-2_2	Z112	0	Z112	-1	監理団体<br>代表者氏名<br>（ふりがな）	72	71	kanri_dantai_person	Z128		54						
A1-2	2	A1-2_2	Z113	0	Z113	-1	担当事業所名	54	54	kanri_dantai_office	kanri_office_name		58						
A1-2	2	A1-2_2	Z114	0	Z114	-1	担当事業所名<br>（ふりがな）	55	54	kanri_dantai_office	kanri_office_phonetic		57						
A1-2	2	A1-2_2	Z116	0	Z116	-1	担当事業所<br>住所	56	54	kanri_dantai_office	kanri_office_address		60						
A1-2	2	A1-2_2	Z117	0	Z117A	-1	担当事業所<br>郵便番号	58	54	kanri_dantai_office	kanri_office_zip		59						
A1-2	2	A1-2_2	Z118	0	Z118A	-1	担当事業所<br>電話番号	59	54	kanri_dantai_office	kanri_office_tel		61						
A1-2	2	A1-2_2	Z120	0	Z120	-1	監理責任者名	75	75	kanri_dantai_person	Z127		55						
A1-2	2	A1-2_2	Z121	0	Z121	-1	監理責任者名<br>（ふりがな）	76	75	kanri_dantai_person	Z128		56						
A1-2	2	A1-2_2	Z135	0	Z135	-1	監理団体<br>許可番号	1	0	kanri_dantai	Z135		46						
A1-2	2	A1-2_2	Z171	0	Z171	-1	送出し機関名	1	0	intern	sendout_organ_name		64						
A1-2	2	A1-2_2	Z188	0	Z188A	-1	賃金区分	3	0	intern	paymentflg	月給,日給,時給	67						
A1-2	2	A1-2_2	Z188	0	Z188D	-1	賃金（円）	10	0	intern	basesalary		68						
A1-2	2	A1-2_2	Z193	0	Z193	-1	講習手当	10	0				69						
A1-2	2	A1-2_2	Z203A	0	Z203A	-1	雇用期間<br>開始	4	0	intern	employ_s		80					雇用期間：開始を「yyyy/mm/dd」の書式で入力します。カレンダーの使用が可能です。	
A1-2	2	A1-2_2	Z203D	0	Z203D	-1	雇用期間<br>終了	4	0	intern	employ_e		81					雇用期間：終了を「yyyy/mm/dd」の書式で入力します。カレンダーの使用が可能です。	
A1-2	2	A1-2_2	Z208	0	Z208	-1	年間の<br>所定労働時間<br>(時間)	1	0	intern	tem_yeartime_hour_decimal		82						
